城市,起始時間,結束時間,最高溫度,最低溫度,體感
嘉義縣,2024-01-22 06:00:00,2024-01-22 18:00:00,20,14,寒冷至稍有寒意
新北市,2024-01-22 06:00:00,2024-01-22 18:00:00,14,11,寒冷
嘉義市,2024-01-22 06:00:00,2024-01-22 18:00:00,20,13,寒冷至稍有寒意
新竹縣,2024-01-22 06:00:00,2024-01-22 18:00:00,14,10,非常寒冷至寒冷
新竹市,2024-01-22 06:00:00,2024-01-22 18:00:00,14,10,非常寒冷至寒冷
臺北市,2024-01-22 06:00:00,2024-01-22 18:00:00,14,11,寒冷
臺南市,2024-01-22 06:00:00,2024-01-22 18:00:00,22,15,寒冷至舒適
宜蘭縣,2024-01-22 06:00:00,2024-01-22 18:00:00,14,12,寒冷
苗栗縣,2024-01-22 06:00:00,2024-01-22 18:00:00,14,10,寒冷
雲林縣,2024-01-22 06:00:00,2024-01-22 18:00:00,18,14,寒冷至稍有寒意
花蓮縣,2024-01-22 06:00:00,2024-01-22 18:00:00,18,15,寒冷至稍有寒意
臺中市,2024-01-22 06:00:00,2024-01-22 18:00:00,17,12,寒冷至稍有寒意
臺東縣,2024-01-22 06:00:00,2024-01-22 18:00:00,22,17,稍有寒意至舒適
桃園市,2024-01-22 06:00:00,2024-01-22 18:00:00,13,10,寒冷
南投縣,2024-01-22 06:00:00,2024-01-22 18:00:00,18,13,寒冷至稍有寒意
高雄市,2024-01-22 06:00:00,2024-01-22 18:00:00,25,17,稍有寒意至舒適
金門縣,2024-01-22 06:00:00,2024-01-22 18:00:00,12,8,非常寒冷至寒冷
屏東縣,2024-01-22 06:00:00,2024-01-22 18:00:00,26,16,稍有寒意至舒適
基隆市,2024-01-22 06:00:00,2024-01-22 18:00:00,14,11,寒冷
澎湖縣,2024-01-22 06:00:00,2024-01-22 18:00:00,18,13,寒冷至稍有寒意
彰化縣,2024-01-22 06:00:00,2024-01-22 18:00:00,16,12,寒冷至稍有寒意
連江縣,2024-01-22 06:00:00,2024-01-22 18:00:00,9,5,非常寒冷
