序號,縣市別代碼,工廠名稱,登記編號,廠址,產業類別,產品名稱
1,66000,大新餐盒食品工廠,99633047,臺中市大甲區義和里中山路１段４５８號,08食品製造業,089其他食品
2,66000,巧口樂實業股份有限公司,99633103,臺中市烏日區前竹里中山路一段二六五巷一號,08食品製造業,089其他食品
3,66000,永信藥品工業股份有限公司台中幼獅廠,99633162,臺中市大甲區日南里工九路27號、工七路9號,"20藥品及醫用化學製品製造業,08食品製造業,33其他製造業","089其他食品,200藥品及醫用化學製品,332醫療器材及用品"
4,66000,潭陽產業股份有限公司,99633182,臺中市潭子區潭陽里潭子街一段31巷86號,08食品製造業,086碾榖、磨粉及澱粉製品
5,66000,台中縣外埔鄉農會碾米工廠土城分廠,99633204,臺中市外埔區土城里土城路二一三號,08食品製造業,086碾榖、磨粉及澱粉製品
6,66000,台中縣外埔鄉農會碾米工廠中山分廠,99633205,臺中市外埔區中山里大馬路１９８號,08食品製造業,086碾榖、磨粉及澱粉製品
7,66000,隨興製冰冷凍股份有限公司,99633214,臺中市梧棲區草湳里自強路三三０號,08食品製造業,"082水產處理及其製品,089其他食品"
8,66000,井田生化科技股份有限公司,99633254,臺中市大甲區日南里工九路9號,"08食品製造業,20藥品及醫用化學製品製造業","200藥品及醫用化學製品,089其他食品"
9,66000,裕珍馨食品股份有限公司幼獅廠,99633256,臺中市大甲區日南里工十路六號,08食品製造業,089其他食品
10,66000,聯引餐盒廠,99633272,臺中市大安區中庄里興安路三五六號,08食品製造業,089其他食品
11,66000,狀元醬油股份有限公司,99633299,臺中市大肚區福山里沙田路一段388巷35之9號,08食品製造業,089其他食品
12,66000,優仕咖啡股份有限公司台中廠,99633317,臺中市霧峰區萬豐里中正路二六六之一號,08食品製造業,089其他食品
13,66000,丸文調理食品有限公司,99633367,臺中市大里區仁化里工業十一路一五六號,08食品製造業,089其他食品
14,66000,沙鹿製冰股份有限公司,99633379,臺中市沙鹿區洛泉里和平街一六號,08食品製造業,089其他食品
15,66000,家園食品股份有限公司,99633464,臺中市大里區仁化里仁美路９８號,08食品製造業,089其他食品
16,66000,佳祥餐盒食品廠,99633480,臺中市清水區南社里忠孝西路一０三號,08食品製造業,089其他食品
17,66000,飪珍記食品股份有限公司,99633537,臺中市太平區中興里永平路二段476巷16、26號,08食品製造業,089其他食品
18,66000,麒洲食品有限公司,99633585,臺中市大雅區上楓里前村路一０一號,08食品製造業,"089其他食品,081肉類處理及其製品"
19,66000,顏新發福珍企業股份有限公司大里廠,99633644,臺中市大里區瑞城里中興路一段二六巷二七號,08食品製造業,089其他食品
20,66000,佳信食品工業股份有限公司,99633680,臺中市梧棲區草湳里自立三街69號,08食品製造業,089其他食品
21,66000,昆林食品有限公司,99633694,臺中市太平區平安里鵬儀路211巷10號,08食品製造業,089其他食品
22,66000,松林食品工廠,99633724,臺中市龍井區忠和里中央路三段一九二號,08食品製造業,089其他食品
23,66000,日光食品工廠股份有限公司,99633759,臺中市大甲區岷山里中山路一段九一二、九一二之一號,08食品製造業,085乳品
24,66000,裕興發企業股份有限公司第二廠,99633762,臺中市清水區國姓里三美路七三之一號,08食品製造業,087動物飼料
25,66000,裕興發企業股份有限公司,99633765,臺中市清水區國姓里三美路六十二號,08食品製造業,"084食用油脂,089其他食品"
26,66000,中港興食品股份有限公司,99633796,臺中市太平區德隆里工業十七路9號,08食品製造業,089其他食品
27,66000,源永豐食品股份有限公司,99633798,臺中市大甲區日南里幼獅路七號,08食品製造業,086碾榖、磨粉及澱粉製品
28,66000,上弘便當工廠,99633823,臺中市大里區樹王里東興路三二０巷二號,08食品製造業,089其他食品
29,66000,華元食品股份有限公司,99633832,臺中市梧棲區草湳里自立二街392號,08食品製造業,089其他食品
30,66000,華元食品股份有限公司第二廠,99633833,臺中市梧棲區草湳里自立二街128號,08食品製造業,089其他食品
31,66000,台灣高蜜食品實業有限公司,99633858,臺中市神岡區岸裡里大富路６１巷２８號,08食品製造業,089其他食品
